solidus_gam0pt1,solidus_gam0pt05,solidus_gam0pt01,liquidus
1500,1500,1500,1500
1497.31065721933,1494.64834346362,1474.28164902829,1499.72972972973
1494.64810049879,1489.40276184437,1451.01305204438,1499.45945945946
1492.01206304717,1484.26115263661,1429.96086225991,1499.18918918919
1489.4022807305,1479.22145500836,1410.9139599036,1498.91891891892
1486.81849204565,1474.28164897528,1393.68133502774,1498.64864864865
1484.26043809405,1469.43975459106,1378.09017198418,1498.37837837838
1481.72786255577,1464.69383115379,1363.98411635992,1498.10810810811
1479.22051166388,1460.04197642812,1351.22170699259,1497.83783783784
1476.73813417895,1455.48232588281,1339.67495734139,1497.56756756757
1474.28048136395,1451.01305194341,1329.2280719869,1497.2972972973
1471.84730695927,1446.63236325971,1319.77628538836,1497.02702702703
1469.43836715807,1442.33850398779,1311.22481125298,1496.75675675676
1467.05342058183,1438.12975308621,1303.48789198107,1496.48648648649
1464.69222825621,1434.00442362621,1296.48793865463,1496.21621621622
1462.35455358704,1429.96086211555,1290.15475294461,1495.94594594595
1460.04016233666,1425.9974478358,1284.42482313407,1495.67567567568
1457.74882260044,1422.11259219269,1279.24068719727,1495.40540540541
1455.48030478354,1418.3047380794,1274.55035654754,1495.13513513514
1453.23438157788,1414.57235925246,1270.30679467493,1494.86486486486
1451.01082793941,1410.91395971998,1266.46744544532,1494.59459459459
1448.80942106552,1407.32807314205,1262.99380633049,1494.32432432432
1446.62994037275,1403.81326224303,1259.85104228938,1494.05405405405
1444.47216747465,1400.36811823543,1257.00763642838,1493.78378378378
1442.33588615992,1396.99126025526,1254.43507393734,1493.51351351351
1440.22088237075,1393.6813348086,1252.10755613164,1493.24324324324
1438.12694418135,1390.43701522903,1250.00174173267,1492.97297297297
1436.05386177673,1387.25700114593,1248.0965127922,1492.7027027027
1434.00142743168,1384.14001796328,1246.37276291312,1492.43243243243
1431.96943548994,1381.08481634873,1244.81320564283,1492.16216216216
1429.95768234361,1378.0901717329,1243.40220111788,1491.89189189189
1427.96596641274,1375.15488381856,1242.12559922105,1491.62162162162
1425.99408812513,1372.27777609948,1240.97059767842,1491.35135135135
1424.04184989633,1369.45769538891,1239.92561367301,1491.08108108108
1422.10905610985,1366.69351135737,1238.98016768763,1490.81081081081
1420.19551309755,1363.98411607957,1238.12477841216,1490.54054054054
1418.30102912025,1361.32842359036,1237.35086766116,1490.27027027027
1416.4254143485,1358.72536944943,1236.65067434836,1490
1414.56848084357,1356.17391031473,1236.01717665543,1489.72972972973
1412.73004253861,1353.6730235242,1235.44402161438,1489.45945945946
1410.90991522001,1351.22170668594,1234.92546139744,1489.18918918919
1409.10791650894,1348.81897727639,1234.45629567552,1488.91891891892
1407.32386584308,1346.46387224656,1234.03181946731,1488.64864864865
1405.55758445853,1344.15544763599,1233.64777595577,1488.37837837838
1403.80889537189,1341.89277819442,1233.30031379912,1488.10810810811
1402.07762336252,1339.67495701094,1232.985948508,1487.83783783784
1400.36359495499,1337.50109515044,1232.70152750166,1487.56756756757
1398.66663840171,1335.3703212974,1232.44419849259,1487.2972972973
1396.98658366571,1333.28178140656,1232.21138088268,1487.02702702703
1395.32326240359,1331.23463836066,1232.00073988389,1486.75675675676
1393.67650794867,1329.22807163491,1231.81016310412,1486.48648648649
1392.04615529427,1327.26127696809,1231.63773936328,1486.21621621622
1390.43204107721,1325.33346604021,1231.48173952719,1485.94594594595
1388.83400356142,1323.44386615652,1231.34059916715,1485.67567567568
1387.2518826217,1321.59171993782,1231.21290287125,1485.40540540541
1385.68551972775,1319.77628501689,1231.09737005,1485.13513513514
1384.13475792823,1317.99683374093,1230.99284209411,1484.86486486487
1382.59944183503,1316.2526528799,1230.89827075546,1484.59459459459
1381.07941760774,1314.54304334067,1230.81270763488,1484.32432432432
1379.5745329382,1312.8673198868,1230.73529467121,1484.05405405405
1378.08463703526,1311.22481086388,1230.66525553631,1483.78378378378
1376.60958060966,1309.61485793033,1230.60188784976,1483.51351351351
1375.14921585906,1308.03681579353,1230.54455613507,1483.24324324324
1373.70339645325,1306.49005195118,1230.4926854469,1482.97297297297
1372.27197751949,1304.97394643774,1230.44575560527,1482.7027027027
1370.85481562797,1303.48789157603,1230.40329597896,1482.43243243243
1369.45176877745,1302.03129173357,1230.36488076587,1482.16216216216
1368.06269638106,1300.60356308389,1230.33012472291,1481.89189189189
1366.68745925215,1299.20413337252,1230.29867930258,1481.62162162162
1365.3259195904,1297.83244168762,1230.27022915765,1481.35135135135
1363.977940968,1296.48793823516,1230.24448897869,1481.08108108108
1362.64338831593,1295.17008411852,1230.2212006329,1480.81081081081
1361.32212791053,1293.87835112256,1230.20013057545,1480.54054054054
1360.01402735998,1292.61222150185,1230.18106750738,1480.27027027027
1358.71895559113,1291.37118777317,1230.16382025662,1480
1357.43678283631,1290.15475251208,1230.14821586086,1479.72972972973
1356.16738062036,1288.9624281536,1230.13409783297,1479.45945945946
1354.91062174773,1287.79373679672,1230.12132459174,1479.18918918919
1353.66638028975,1286.64821001291,1230.10976804199,1478.91891891892
1352.43453157201,1285.5253886583,1230.09931229003,1478.64864864865
1351.21495216187,1284.42482268973,1230.0898524814,1478.37837837838
1350.00751985609,1283.3460709843,1230.08129374935,1478.10810810811
